# of Events	Location	Team Name	Nickname	Team #	OPR Rank	Max OPR	ChampionshipDivision	Archimedes	Curie	Galileo	Newton	BAE	FingerLakes	Palmetto	HubCity	CentralValley	Kettering	TraverseCity	HatboroHorsham	TorontoEast	SanDiego	Orlando	WPI	LakeSuperior	NorthernLights	Oregon	LoneStar	NewYorkCity	GullLake	Waterford	Israel	Montreal	Peachtree	Boilermaker	KansasCity	St.Louis	NorthCarolina	Pittsburgh	Virginia	Detroit	St.Joseph	TCNJ	SpringsideChestnutHill	Waterloo	Phoenix	Sacramento	LosAngeles	Bayou	Boston	QueenCIty	Dallas	Utah	CentralWashington	Wisconsin	WestMichigan	GrandBlanc	MountOlive	LenapeSeneca	TorontoWest	InlandEmpire	Connecticut	WashingtonDC	SouthFlorida	MN10000Lakes	MNNorthStar	Buckeye	Oklahoma	SmokyMountains	Alamo	Seattle	Livonia	Troy	WesternCanadian	Razorback	SiliconValley	Colorado	Hawaii	Midwest	Crossroads	PineTree	LasVegas	LongIsland	Spokane	Bedford	BridgewaterRaritan	Chesapeake	MichiganState	MidAtlanticRegion
																																																																																								
	, MI USA					-1	0	100	100	100	100	45	49	65	41	38	39	39	37	34	59	61	40	50	47	59	57	63	40	40	49	39	60	40	55	43	55	45	65	40	39	37	33	32	50	53	65	54	50	53	46	44	50	57	40	40	35	31	44	49	56	58	46	63	60	53	58	50	61	64	39	40	29	41	59	48	37	53	50	38	47	50	41	40	43	64	64	49
4	St. Catharines, ON Canada	Innovation First International/General Motors St. Catharines Powertrain & Simbotics	Simbotics	1114	1	103.9	Galileo			78.3363112600044										68.6685909000584																								96.9278350995346															103.888883803323																													
4	Stoney Creek, ON Canada	CNC Woodcraft / Gridpath Solutions & Orchard Park S.S. & HWDSB & The Stoney Creek Community	OP Community Robotics	2056	2	98.7	Curie		83.7428810675134											86.8447993887593																								98.7000844514295															90.6480040835873																													
5	Bloomfield Hills, MI USA	Comau/AVL/General Motors/Nissan/Norgren, Inc./Eco-Bat/QUEXCO/Solidworks/Anixter/Copeland-Gibson/Stylmark/Gorman's Gallery/Lawrence Technological University & International Academy	Las Guerrillas	469	3	92.0	Archimedes	83.2511952357337																																59.5588344503503																																69.0861434879226												92.0202608856604			78.6806578998998	
3	Las Vegas, NV USA	S & S Philpott LLC./Lowes/Nevada YESCO LLC./Albertsons/PTC/NSTec/ITT Technical Institute/VSR Industries & Cimarron-Memorial High School	HIGHROLLERS	987	4	85.8	Archimedes	106.866006590082													85.7869930277207																																																												74.2350714197306							
4	League City, TX USA	NASA-JSC & Clear Creek ISD	Robonauts	118	5	85.6	Galileo			92.3850016700544																	48.6033610052869																					85.6280242531548																											80.2066827044876													
3	Goleta, CA USA	Raytheon/Mosher Foundation/Outhwaite Foundation/Valley Precision Products/lynda.com/P&G Alumni Association/Neal Feay Company/Edison International/Rincon Engineering/Amgen Foundation/ATK Space/Tecolote Research, Inc./Allergan Foundation/Downey's/Lockheed Martin/Enerpro, Inc./Toyon Research Corporation/FLIR/Montecito Bank & Trust/Rincon Technology/Las Cumbres Observatory Global Telescope/Citrix Online/Impulse Advanced Communications/AFAR Communications Inc./Silvergreens/City of Goleta/Santa Barbara County ROP & Dos Pueblos High School Engineering Academy	D'Penguineers	1717	6	84.6	Curie		79.6566429378104																																						20.5756941188131																																		84.647229992283							
4	Milford, MI USA	General Motors Milford Proving Ground & Huron Valley Schools	The HOT Team	67	7	83.9	Curie		74.2375739284593																					39.0644578087591																																										73.8879954829337															83.9320427461134	
3	Katy, TX USA	BP America/Oceaneering/Texas Workforce Commission & Cinco Ranch High School	CRyptonite	624	8	82.9																					30.3850682358957						67.6950440835508																																				82.8522715826577																			
4	Lee's Summit, MO USA	NASA Marshall Space Flight Center / TradeBot / Dr. Thomas G. Cates III / Northpoint Development / Intuitive Surgical, Inc / Honeywell FM&T / U.S Engineering / Paradise Park / Deauville Apartments / Delmer & Ruth Harris / Kastle Grinding / Venture Industrial Products / Billy Goat Industries / Trident Co. / CK Enterprises & Lee's Summit West High School	Team Titanium	1986	9	80.9	Newton				79.4879402492165				64.8658182095945																				80.8710045500412																																70.3550100898005																					
