# of Events	Location	Team Name	Nickname	Team #	OPR Rank	Max OPR	ChampionshipDivision	CentralIllinois	Palmetto	Alamo	GreaterTorontoWest	InlandEmpire	MICenterLine	MISouthfield	NEGraniteState	PNWAuburnMountainview	MARMtOlive	MARHatboroHorsham	Israel	GreaterTorontoEast	Arkansas	SanDiego	Crossroads	LakeSuperior	NorthernLights	HubCity	NEUNH	CentralValley	MIKetteringU	MIGullLake	PNWOregonCity	PNWGlacierPeak	NEGroton	MexicoCity	Sacramento	Orlando	GreaterKansasCity	St.Louis	NorthCarolina	NewYorkTechValley	Dallas	Utah	NEWPI	MIEscanaba	MIHowell	MARSpringsideChestnutHill	PNWEasternWashingtonU	PNWMt.Vernon	MARClifton	Waterloo	Montreal	Arizona	LosAngeles	Boilermaker	Buckeye	Virginia	Wisconsin	MIWestMichigan	MIGreatLakesBayRegion	MITraverseCity	PNWWilsonville	NERhodeIsland	PNWShorewood	NESouthington	MARLenape-Seneca	NorthBay	Peachtree	Hawaii	Minnesota10000Lakes	MinnesotaNorthStar	SBPLILongIsland	FingerLakes	QueenCity	Oklahoma	GreaterPittsburgh	SmokyMountains	GreaterDC	NENortheasternU	MILivonia	MISt.Joseph	MIWaterford	PNWAuburn	PNWCentralWashingtonU	NEHartford	MARBridgewaterRaritan	WesternCanada	WindsorEssexGreatLakes	SiliconValley	Colorado	SouthFlorida	Midwest	Bayou	Chesapeake	LasVegas	NewYorkCity	LoneStar	NEPineTree	MiLansing	MIBedford	MITroy	PNWOregonStateU	NewEnglandRegion	MichiganState	AutodeskPNW	MidAtlanticRegion	Archimedes	Curie	Galileo	Newton
																																																																																																													
	, MI USA					-1	0	40	67	64	30	40	39	40	39	32	38	40	53	48	39	60	45	57	55	42	36	45	40	40	35	32	33	38	54	62	58	45	54	38	45	48	39	36	40	34	31	28	31	30	41	49	66	40	54	64	60	40	40	40	31	37	33	32	39	36	64	39	63	60	50	49	47	62	48	49	50	40	40	39	40	36	34	39	46	35	40	58	52	47	53	57	54	50	66	55	38	40	39	40	30	53	64	63	55	100	100	100	100
4	St. Catharines, ON Canada	Innovation First International/General Motors St. Catharines Powertrain & Governor Simcoe Secondary School	Simbotics	1114	1	152.1	Newton													152.059753408863																														112.737299558547																																					94.5112223940801																						84.1692405229774
4	Armada, MI USA	The Chrysler Foundation/Ford Motor Company/Master Pneumatic, Inc/Miljoco Corporation/Richmond Rotary/NuStep, Inc/SMART I.T. Services/The Armada Fair & The Macomb Academy of Arts & Sciences	The Fighting Pi	1718	2	149.7	Curie						67.9274719627156																																																																				149.653428245081																						90.8955792319017				109.673009082198		
4	San Jose, CA USA	NASA Ames Research Center/Lockheed Martin/The Mercadante Family/Ooyala/Qualcomm/HP/West Coast Products/The Magarelli Family/The Yun Family/Google/Modern Machine/The Gebhart Family/Aditazz/Vivid-Hosting/BAE Systems/Gilbert Spray Coat/Pacific Coast Metal/Polytec Products/S&S Welding/Good Plastics/Team Whyachi/Advanced Welding/The Jimenez Family & Bellarmine College Preparatory	The Cheesy Poofs	254	3	132.2	Curie																					91.3061354570315																						126.385561344222																																						95.1057720220602																			132.216334860418		
3	Winnebago, IL USA	United Technologies Corporation / Woodward / In Memory of Roger W. Freeman / Dale Falconer & Winnebago High School	Winnovation	1625	4	130.8	Archimedes																																																		62.691670001552																																		130.824130032334															99.6798516656192			
3	Calgary, AB Canada	Qsine Corporation Limited/Aaron Machine Shop/Bishop Carroll High School & Alberta Tech Alliance	Alberta Tech Alliance (ATA)	4334	5	130.5	Curie																																			43.7351040253577																																												130.52193244241																					62.5348738958252		
4	Sedalia, MO USA	NASA / Ditzfeld Transfer / Maxion Wheels / W&M Welding / Waterloo Industries, Inc. & Smith-Cotton High School	Team SCREAM	4522	6	128.4	Curie														70.7740224088006																128.413275229239																																					56.7498582769306																																	43.1483233516164		
4	League City, TX USA	NASA-JSC & Clear Creek ISD	Robonauts	118	7	127.6	Curie			79.9932421032189																											115.344392192312																																																											127.578620335635											71.4847172364609		
5	Bloomfield Hills, MI USA	Comau / AVL / General Motors / Nissan / Norgren, Inc. / Eco-Bat / QUEXCO / Solidworks / TARDEC / Michigan Fiberglass / Anixter / Copeland-Gibson / Techshop / Lawrence Technological University / Stylmark / Gorman's Gallery / Koshido Design & International Academy	Las Guerrillas	469	8	122.3	Curie																																						70.5439850610229																																				88.1618771248483																			72.8993156828286			122.297197491151				121.404255692977		
5	Auburn Hills, MI USA	Chrysler LLC/The Chrysler Foundation/BAE Systems/TI Automotive/JDM Consulting & Notre Dame Preparatory School	Killer Bees	33	9	121.9	Archimedes							103.535835445675																																													50.6975112440892																																									106.637562610093			53.931564887644			121.904276437505			
3	Stoney Creek, ON Canada	CNC Woodcraft / Gridpath Solutions / Juice Matters & Orchard Park S.S. & HWDSB	OP Robotics	2056	10	120.3	Archimedes																																											90.0890855103886																																					120.260927606508																			119.041345343515			
4	Waialua, HI USA	McInerny Foundation / Hawaii P-20 College Access Grant / Castle & Cooke, Inc. Dole Plantation / R.M. Towill Foundation / Russell Figueiroa / Hawaiian Electric Company / Waialua Federal Credit Union / Monsanto Hawaii / Oakley, Inc. / Turtle Bay Foundation / LockHeed Martin / AFCEA Hawaii / BAE Systems / Friends of Hawaii Robotics / HI Central North Complex / HawaiiUSA Federal Credit Union / Waialua High School Foundation / Waialua Hongwanji Mission / Arthur Kobayashi, OD / National Instruments / Waialua Lions Club / Hawaiian Dredging / Dole Food Company of Hawaii / Hawaii Visitors Bureau / Pioneer Hi-Bred International / Coca Cola Hawaii / Gordon Kuwada / Kenneth Koga / Matsuo Takabuki / The Oishi Family & Waialua High School	Hawaiian Kids	359	11	119.6	Curie																		88.2551128437407																82.9748996967494																											119.639848613167																																							106.716507495619		
3	Lee's Summit, MO USA	TradeBot / Venture Industrial Products / National Instruments / Dr. Thomas G. Cates III / Intuitive Surgical, Inc / Michael & Jayne Hartwig / Delmer & Ruth Harris / Honeywell FM&T / Proliant Group / KC STEM Alliance / Metals USA / Deauville Apartments / Paradise Park / Kastle Grinding / Billy Goat Industries / CK Enterprises / Northpoint Development / U.S Engineering & Lee's Summit West High School	Team Titanium	1986	12	119.0	Newton	81.9995328220179																													119.038051937773																																																																								80.5104897088586
5	Milford, MI USA	General Motors Milford Proving Ground & Huron Valley Schools	The HOT Team	67	13	118.4	Galileo																																						82.8414046146954																																				118.404135980871																	88.9129869342525					109.655882172282					89.2737324284079	
5	Clarkston, MI USA	The Chrysler Foundation/BorgWarner/Mclaren Health Care/BAE SYSTEMS/Smith's Disposal/Recticel North America Inc./Magna Powertrain/Genisys Credit Union & Clarkston Schools & CSMTech Academy Clarkston High School	Team RUSH	27	14	118.3	Archimedes																		62.2437639414776																				103.508687220908																																			106.113203413205																							91.3700631826443			118.290806953282			
2	Phoenix, AZ USA	DLR Group / The Butler Family Foundation / Science Foundation Arizona / Intel / MarZee Water Jet Services / Bank of America / Sun Eagle Corporation / Sling Rings / Arizona Charitable Tax Credit Donors / Critical Mass Communications / Critical Mass Communications / Microchip / The Boeing Company / Fast Signs / Southwest Fasteners & Carl Hayden High School	Falcon Robotics	842	15	117.8	Curie																																													117.753983648643																																																							84.0909240776109		
4	Katy, TX USA	BP America/Oceaneering/Texas Workforce Commission & Cinco Ranch High School	CRyptonite	624	16	113.2	Curie			96.7049903459206																										72.6082132092865																																																												72.5215000024505											113.168229197537		
4	Greenville, TX USA	Innovation First International/L-3 Mission Integration & Greenville High School	Robowranglers	148	17	112.8	Galileo			58.2511682560389																															108.651525097661																																																							112.764651664902												92.9304661970979	
3	Stuart, FL USA	Pratt & Whitney / Florida Power & Light / Aerojet Rocketdyne / Education Foundation of Martin County & Jensen Beach High School & Martin County High School & South Fork High School & Clark Advanced Learning Center (High School)	S.P.A.M.	180	18	112.6	Curie																													77.0194376408584																																																						112.611877124753																	88.5181934934634		
3	Leonardtown, MD USA	The Boeing Company/The Patuxent Partnership/BAE Systems/SAIC/National Instruments/Naval Air Systems Command/Booz Allen Hamilton & Dr. James A. Forrest Career & Technology Center High School	The RoboBees	836	19	110.6	Galileo																																81.7437183185568																																				89.2585028606998																																	110.636360670313	
5	York, PA USA	BAE SYSTEMS / NRG Energy / Fred Dallmeyer Fund of York County Community Fundation / Coupling Corporation of America / St. Onge Company / JMT Engineering & TechFire Robotics of York	TechFire	225	20	108.4	Galileo																																							52.2947560266845																			80.5159441715279												108.350043620788																												88.9036120228865			55.1804956125513	
3	The Woodlands, TX USA	Innovation First International/Halliburton/Anadarko/NEMA Enclosures/Texas Workforce Commission/Crow Corp/ABB & Conroe ISD	Texas Torque	1477	21	108.3	Archimedes																																		34.7276258492241																																																							108.290615249894										62.9526033188763			
