# of Events	Location	Team Name	Nickname	Team #	OPR Rank	Max OPR	ChampionshipDivision	SouthFlorida	LakeSuperior	NorthernLights	Palmetto	Dallas	InlandEmpire	GeorgiaSouthernClassic	MIHowell	MISouthfield	MIStandish	NEGraniteState	PNWOregonCity	PNWAuburnMountainview	NEWaterbury	INPerryMeridian	MARHatboro-Horsham	TorontoCentral	MexicoCity	ArkansasRockCity	Pittsburgh	CentralValley	NEPioneerValley	MIKetteringUniversity	MIKentwood	MIWaterford	PNWWestValley	NEReading	MARMt.Olive	PNWGlacierPeak	Israel	Australia	TorontoEast	LosAngeles	Orlando	KansasCity	Alamo	Utah	NewYorkCity	INKokomo	NEUMass-Dartmouth	NEPineTree	MIWoodhaven	MIGullLake	MITraverseCity	PNWWilsonville	MARSpringsideChestnutHill	PNWMt.Vernon	Waterloo	Montreal	ArizonaEast	Sacramento	CentralIllinois	Bayou	St.Louis	NorthCarolina	NewYorkTechValley	Virginia	Wisconsin	INPurdue	MIWestMichigan	MIGreatLakesBayRegion	MISt.Joseph	PNWCentralWashingtonUniversity	NEUNH	MARSeneca	NERhodeIsland	PNWShorewood	NorthBay	Colorado	Peachtree	Hawaii	LasVegas	SBPLILongIsland	FingerLakes	Buckeye	Oklahoma	HubCity	GreaterDC	Ventura	NENortheastern	MICenterline	MIEscanaba	MILivonia	PNWPhilomathPeak	PNWAuburn	NEHartford	MARBridgewater-Raritan	MARUpperDarby	WesternCanada	WindsorEssexGreatLakes	ArizonaWest	SanDiego	SiliconValley	Midwest	Chesapeake	Minnesota10000Lakes	MinnesotaNorthStar	QueenCity	SmokyMountains	LoneStar	PNWDistrictChampionship	INDistrictChampionship	MILansing	MIBedford	MITroy	MARNorthBrunswick	NEDistrictChampionship	MIDistrictChampionship	MARDistrictChampionship	Archimedes	Carson	Carver	Curie	Galileo	Hopper	Newton	Tesla
																																																																																																																												
	, MI USA					-1	0	50	63	60	66	48	38	42	40	38	40	40	32	32	34	34	37	42	39	54	54	49	33	41	40	39	28	40	38	33	55	33	47	66	64	54	60	53	66	32	27	31	39	40	40	33	34	30	30	47	41	55	39	59	43	55	36	64	60	39	40	40	40	33	40	37	39	32	36	51	66	36	42	51	45	56	61	44	48	41	40	40	40	40	31	30	40	38	35	31	48	34	58	57	53	58	63	60	47	51	55	64	31	40	40	41	34	60	102	53	76	75	76	76	76	76	76	76
3	San Jose, CA USA	NASA Ames Research Center / Google / Ooyala / The Mercadante Family / BAE Systems / The Kasle Family / Qualcomm / Intuitive Surgical / Vivid-Hosting / West Coast Products / Cisco / Mentor Graphics / The Jimenez Family / The Magarelli Family / The Kumar Family / Gilbert Spray Coat / Pacific Coast Metal / Applied Welding / Cisco / Four-D Metal Finishing & BELLARMINE COLLEGE PREP SCHOOL	The Cheesy Poofs	254	1	158.0	Carson																					81.5546277917302																																																																								157.985430882848																		129.339832719324						
3	League City, TX USA	NASA-JSC & CLEAR CREEK H S	Robonauts	118	2	138.1	Newton					48.6646443517762																																														112.77828721967																																																	138.078420503317																117.19944572727	
4	St. Catharines, ON Canada	Innovation First International/General Motors St. Catharines Powertrain & Governor Simcoe Secondary School	Simbotics	1114	3	128.4	Curie																	119.911004437673																															118.756189789765																																										128.421324472643																							109.883097646103				
5	Temperance, MI USA	Marathon Petroleum Company LP / ORT / Heidtman Steel / RD Tool & Manufacturing / The Staley Family / DTE Energy Foundation / Bill & Cheryl Sommers / Integration Partners & BEDFORD SENIOR HIGH SCHOOL	Bedford Express	1023	4	119.9	Archimedes									34.3048052814093																																	85.8559628700022																																																														109.012456731555				88.3836411868564		119.922238486104							
2	Las Vegas, NV USA	Steve and Susan Philpott/Nevada YESCO LLC./Lowes/Lenovo/Albertsons/PTC/ITT Technical Institute/VSR Industries & CIMARRON MEMORIAL HIGH SCHOOL	HIGHROLLERS	987	5	119.3	Hopper					81.5494173872325																																																																			78.7608525118677																																											119.333088071297		
2	Oshkosh, WI USA	Oshkosh Corporation/Muza Metal Products/Schneider Electric/Triangle Manufacturing & Oshkosh Recreational Department	Wave Robotics	2826	6	117.9	Hopper																																																										55.9750161194532																																							117.854196368975																		92.6994022105893		
3	Greenville, TX USA	Innovation First International/L-3 Mission Integration/Texas Workforce Commission & GREENVILLE H S	Robowranglers	148	7	114.8	Curie					84.1650393920517																																																																			97.2090946089421																																									114.822723178572				
4	Stoney Creek, ON Canada	CNC Woodcraft/Gridpath Solutions/Juice Matters/HWDSB & Orchard Park Secondary School	OP Robotics	2056	8	112.5	Galileo																																94.0879849247891																112.520019345775																																										107.762439764163																								98.6887749891972			
3	Mountain View, CA USA	NASA Ames Research Center / Google / St. Jude Medical Foundation / NVIDIA / Abbott Fund / DSS SolidWorks / The McLain-Smith Family / Mountain View High School PTSA / The Crispie Family / Intuitive Surgical / Creative Manufacturing Solutions / Screen-Tech / Group Manufacturing Services / Calmax Technology / EKG Precision Machining / Givmar Precision Machining / RDC Machine / Whizz Systems, Inc. & MOUNTAIN VIEW HIGH	Spartan Robotics	971	9	111.3	Carver																																																			37.9494141757192																																										65.8929255939722																			111.335080391031					
