,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,
team Number,nickname,home Championship,event,Week,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo
1,The Juggernauts,St. Louis,MIHowell,5,5.11,-0.16,1.45,1.38,0.41,0.00,24.62,0.41,-1.00,-1.00,8.21,31.11,0.02,1.83,0.53,0.33,0.36,0.37,-0.01,25.39,1.70,-1.00,-1.00,39.39,0.32,0.00,-0.06,13.46,0.43,-1.00,-1.00,0.00,-0.01,0.01,0.15,0.34,0.05,8.58,2.01,50.01,1.05,2.11,-1.00,-1.00,1.91,72.51,71.23,0.00,-35.16,1405
1,The Juggernauts,St. Louis,MIWaterford,3,1.26,0.00,-0.65,-0.65,0.08,0.01,5.34,0.09,-1.00,-1.00,1.78,5.96,0.24,0.37,0.11,0.33,0.34,0.35,-0.03,36.06,1.81,-1.00,-1.00,49.62,0.15,-0.06,0.18,13.45,0.25,-1.00,-1.00,0.00,-0.03,0.05,0.11,-0.12,0.31,-2.86,8.26,41.40,0.99,1.89,-1.00,-1.00,-0.54,63.84,60.75,0.01,-8.05,1442
4,Team 4 ELEMENT,Houston,LosAngeles,4,4.43,0.03,-0.74,-0.73,0.25,0.00,14.77,0.25,-1.00,-1.00,4.92,18.48,0.18,-3.30,-1.06,0.33,0.22,0.46,0.10,34.52,2.73,-1.00,-1.00,70.74,0.34,0.05,0.36,37.28,0.73,-1.00,-1.00,-0.03,0.10,-0.08,0.36,0.10,-0.07,2.10,0.05,49.29,1.11,2.97,-1.00,-1.00,-1.78,89.28,98.43,0.12,-5.92,1448
4,Team 4 ELEMENT,Houston,SanDiego,2,3.30,0.06,-0.50,-0.47,-0.22,0.00,-13.11,-0.22,-1.00,-1.00,-4.37,-10.28,-4.53,6.27,1.31,0.33,0.37,0.25,0.00,46.78,1.92,-1.00,-1.00,65.02,-0.11,0.47,-0.02,16.93,0.13,-1.00,-1.00,0.00,0.00,0.08,0.98,0.07,0.70,2.25,22.53,33.67,0.95,1.70,-1.00,-1.00,0.84,77.27,77.27,0.07,-5.28,1426
8,Paly Robotics,Houston,Roebling,8,5.84,0.00,1.36,1.36,0.39,0.00,23.83,0.40,-1.00,-1.00,7.94,31.02,-0.09,-1.31,-0.44,0.33,0.33,0.35,0.36,39.07,3.82,-1.00,-1.00,69.31,0.17,0.04,0.40,30.68,0.87,-1.00,-1.00,0.01,0.36,0.12,-0.10,0.25,0.06,6.73,1.09,62.89,1.37,4.22,-1.00,-1.00,0.92,101.43,137.90,-0.06,-32.81,1455
8,Paly Robotics,Houston,SiliconValley,5,5.31,-1.00,0.22,-0.08,0.14,0.00,8.48,0.14,-1.00,-1.00,2.83,13.71,0.37,1.64,0.51,0.35,0.36,0.55,0.23,53.66,4.16,-1.00,-1.00,87.59,-0.06,0.09,0.64,33.42,0.88,-1.00,-1.00,0.03,0.23,0.29,-0.05,-0.34,0.12,-7.09,2.69,62.14,1.48,4.30,-1.00,-1.00,0.44,104.00,127.18,-0.01,8.68,1453
8,Paly Robotics,Houston,Ventura,3,3.78,0.01,-0.54,-0.54,0.15,0.00,8.81,0.15,-1.00,-1.00,2.94,12.06,-0.05,-0.09,-0.01,0.33,0.43,0.59,0.09,51.60,3.58,-1.00,-1.00,72.55,0.01,0.26,0.15,20.96,0.62,-1.00,-1.00,0.00,0.09,-0.12,-0.01,0.50,0.49,11.98,12.08,60.41,1.44,3.73,-1.00,-1.00,-0.55,96.69,105.45,0.08,14.24,1469
11,MORT,Houston,Tesla,9,5.06,0.15,1.42,1.49,-0.01,0.00,-0.64,-0.01,-1.00,-1.00,-0.21,5.91,0.30,5.19,1.83,0.33,0.31,0.20,0.31,46.26,3.26,-1.00,-1.00,90.51,0.27,0.25,0.33,42.42,1.00,-1.00,-1.00,0.00,0.31,0.06,0.07,-0.08,0.05,-1.80,1.69,45.62,1.15,3.25,-1.00,-1.00,3.32,98.11,128.65,0.02,-4.28,1550
11,MORT,St. Louis,MARChampionship,6,4.30,0.00,-1.22,-1.22,0.16,-0.02,8.33,0.14,-1.00,-1.00,2.78,11.40,0.81,3.85,1.39,0.33,0.33,0.36,0.34,49.12,4.01,-1.00,-1.00,90.28,0.29,0.34,0.17,39.76,0.77,-1.00,-1.00,0.02,0.34,0.00,0.12,0.05,0.30,1.14,7.97,57.45,1.37,4.15,-1.00,-1.00,0.17,109.65,144.16,0.27,14.45,1586
